ID;cliente;anio;mes;Total_desastres; total_gasto 
246;Banco BCI;2020;junio;2; $8.941 
247;Banco BCI;2020;julio;0; $- 
248;Banco BCI;2020;agosto;0; $- 
249;Banco BCI;2020;septiembre;2; $26.088 
250;Banco BCI;2020;octubre;5; $27.219 
251;Banco BCI;2020;noviembre;5; $98.117 
252;Banco BCI;2020;diciembre;5; $88.810 
253;Banco BCI;2021;enero;3; $92.040 
254;Banco BCI;2021;febrero;4; $84.604 
255;Banco BCI;2021;marzo;0; $- 
256;Banco BCI;2021;abril;0; $- 
257;Banco BCI;2021;mayo;4; $81.399 
258;Banco BCI;2021;junio;1; $61.013 
259;Banco BCI;2021;julio;4; $51.768 
260;Banco BCI;2021;agosto;4; $87.508 
261;Banco BCI;2021;septiembre;3; $61.821 
262;Banco BCI;2021;octubre;1; $35.951 
263;Banco BCI;2021;noviembre;2; $87.771 
264;Banco BCI;2021;diciembre;4; $77.679 
265;Banco BCI;2022;enero;2; $35.998 
266;Banco BCI;2022;febrero;3; $50.029 
267;Banco BCI;2022;marzo;2; $94.114 
268;Banco BCI;2022;abril;5; $88.014 
269;Banco BCI;2022;mayo;3; $67.154 
270;Banco BCI;2022;junio;1; $94.030 
271;Banco BCI;2022;julio;3; $52.042 
272;Banco BCI;2022;agosto;3; $85.386 
273;Banco BCI;2022;septiembre;2; $13.441 
274;Banco BCI;2022;octubre;5; $79.106 
275;Banco BCI;2022;noviembre;5; $57.420 
276;Banco BCI;2022;diciembre;3; $6.095 
277;Banco BCI;2000;enero;2; $31.046 
278;Banco BCI;2000;febrero;5; $81.876 
279;Banco BCI;2000;marzo;1; $74.793 
280;Banco BCI;2000;abril;0; $- 
281;Banco BCI;2000;mayo;1; $69.873 
282;Banco BCI;2000;junio;2; $18.741 
283;Banco BCI;2000;julio;4; $69.518 
284;Banco BCI;2000;agosto;1; $29.272 
285;Banco BCI;2000;septiembre;3; $20.848 
286;Banco BCI;2000;octubre;1; $37.541 
287;Banco BCI;2000;noviembre;3; $86.319 
288;Banco BCI;2000;diciembre;2; $41.973 
289;Banco BCI;2001;enero;0; $- 
290;Banco BCI;2001;febrero;0; $- 
291;Banco BCI;2001;marzo;3; $66.702 
292;Banco BCI;2001;abril;5; $83.104 
293;Banco BCI;2001;mayo;4; $5.838 
294;Banco BCI;2001;junio;3; $85.391 
295;Banco BCI;2001;julio;4; $24.029 
296;Banco BCI;2001;agosto;3; $95.486 
297;Banco BCI;2001;septiembre;4; $54.091 
298;Banco BCI;2001;octubre;5; $17.744 
299;Banco BCI;2001;noviembre;0; $- 
300;Banco BCI;2001;diciembre;4; $88.363 
301;Banco BCI;2002;enero;1; $70.032 
302;Banco BCI;2002;febrero;1; $30.836 
303;Banco BCI;2002;marzo;3; $45.629 
304;Banco BCI;2002;abril;5; $98.448 
305;Banco BCI;2002;mayo;4; $98.912 
306;Banco BCI;2002;junio;3; $64.866 
307;Banco BCI;2002;julio;5; $67.551 
308;Banco BCI;2002;agosto;2; $42.105 
309;Banco BCI;2002;septiembre;2; $81.614 
310;Banco BCI;2002;octubre;1; $67.106 
311;Banco BCI;2002;noviembre;1; $68.008 
312;Banco BCI;2002;diciembre;1; $35.809 
313;Banco BCI;2003;enero;0; $- 
314;Banco BCI;2003;febrero;3; $71.119 
315;Banco BCI;2003;marzo;4; $44.250 
316;Banco BCI;2003;abril;2; $50.998 
317;Banco BCI;2003;mayo;5; $93.395 
318;Banco BCI;2003;junio;5; $59.523 
319;Banco BCI;2003;julio;4; $61.820 
320;Banco BCI;2003;agosto;0; $- 
321;Banco BCI;2003;septiembre;3; $97.805 
322;Banco BCI;2003;octubre;0; $- 
323;Banco BCI;2003;noviembre;2; $15.643 
324;Banco BCI;2003;diciembre;4; $99.453 
325;Banco BCI;2004;enero;4; $27.468 
326;Banco BCI;2004;febrero;4; $37.870 
327;Banco BCI;2004;marzo;3; $45.897 
328;Banco BCI;2004;abril;0; $- 
329;Banco BCI;2004;mayo;4; $46.868 
330;Banco BCI;2004;junio;3; $91.264 
331;Banco BCI;2004;julio;0; $- 
332;Banco BCI;2004;agosto;4; $24.648 
333;Banco BCI;2004;septiembre;4; $73.891 
334;Banco BCI;2004;octubre;3; $88.037 
335;Banco BCI;2004;noviembre;3; $69.143 
336;Banco BCI;2004;diciembre;5; $70.789 
337;Banco BCI;2005;enero;1; $96.013 
338;Banco BCI;2005;febrero;2; $50.821 
339;Banco BCI;2005;marzo;2; $44.561 
340;Banco BCI;2005;abril;3; $7.089 
341;Banco BCI;2005;mayo;1; $46.411 
342;Banco BCI;2005;junio;1; $23.562 
343;Banco BCI;2005;julio;2; $21.847 
344;Banco BCI;2005;agosto;1; $91.885 
345;Banco BCI;2005;septiembre;5; $86.747 
346;Banco BCI;2005;octubre;2; $93.995 
347;Banco BCI;2005;noviembre;0; $- 
348;Banco BCI;2005;diciembre;2; $52.576 
349;Banco BCI;2006;enero;5; $54.573 
350;Banco BCI;2006;febrero;3; $75.178 
351;Banco BCI;2006;marzo;4; $37.846 
352;Banco BCI;2006;abril;1; $56.794 
353;Banco BCI;2006;mayo;0; $- 
354;Banco BCI;2006;junio;0; $- 
355;Banco BCI;2006;julio;4; $9.075 
356;Banco BCI;2006;agosto;3; $71.820 
357;Banco BCI;2006;septiembre;5; $29.010 
358;Banco BCI;2006;octubre;2; $52.980 
359;Banco BCI;2006;noviembre;2; $95.941 
360;Banco BCI;2006;diciembre;1; $96.301 
361;Banco BCI;2007;enero;0; $- 
362;Banco BCI;2007;febrero;1; $96.731 
363;Banco BCI;2007;marzo;3; $18.340 
364;Banco BCI;2007;abril;3; $54.321 
365;Banco BCI;2007;mayo;3; $76.560 
366;Banco BCI;2007;junio;0; $- 
367;Banco BCI;2007;julio;3; $71.186 
368;Banco BCI;2007;agosto;1; $32.584 
369;Banco BCI;2007;septiembre;3; $52.514 
370;Banco BCI;2007;octubre;5; $83.673 
371;Banco BCI;2007;noviembre;4; $53.255 
372;Banco BCI;2007;diciembre;3; $80.355 
373;Banco BCI;2008;enero;3; $64.532 
374;Banco BCI;2008;febrero;1; $36.534 
375;Banco BCI;2008;marzo;2; $57.837 
376;Banco BCI;2008;abril;4; $86.193 
377;Banco BCI;2008;mayo;3; $72.717 
378;Banco BCI;2008;junio;0; $- 
379;Banco BCI;2008;julio;0; $- 
380;Banco BCI;2008;agosto;1; $37.360 
381;Banco BCI;2008;septiembre;3; $84.598 
382;Banco BCI;2008;octubre;5; $86.122 
383;Banco BCI;2008;noviembre;0; $- 
384;Banco BCI;2008;diciembre;2; $70.573 
385;Banco BCI;2009;enero;4; $6.036 
386;Banco BCI;2009;febrero;2; $34.621 
387;Banco BCI;2009;marzo;5; $15.863 
388;Banco BCI;2009;abril;5; $46.966 
389;Banco BCI;2009;mayo;5; $79.311 
390;Banco BCI;2009;junio;4; $78.426 
391;Banco BCI;2009;julio;1; $38.837 
392;Banco BCI;2009;agosto;0; $- 
393;Banco BCI;2009;septiembre;5; $27.699 
394;Banco BCI;2009;octubre;4; $41.813 
395;Banco BCI;2009;noviembre;3; $62.421 
396;Banco BCI;2009;diciembre;4; $17.381 
397;Banco BCI;2010;enero;0; $- 
398;Banco BCI;2010;febrero;5; $27.833 
399;Banco BCI;2010;marzo;4; $77.815 
400;Banco BCI;2010;abril;1; $14.974 
401;Banco BCI;2010;mayo;0; $- 
402;Banco BCI;2010;junio;0; $- 
403;Banco BCI;2010;julio;5; $19.333 
404;Banco BCI;2010;agosto;0; $- 
405;Banco BCI;2010;septiembre;1; $67.734 
406;Banco BCI;2010;octubre;1; $48.901 
407;Banco BCI;2010;noviembre;5; $34.277 
408;Banco BCI;2010;diciembre;5; $79.915 
409;Banco BCI;2011;enero;4; $82.312 
410;Banco BCI;2011;febrero;4; $39.225 
411;Banco BCI;2011;marzo;5; $56.109 
412;Banco BCI;2011;abril;4; $80.402 
413;Banco BCI;2011;mayo;4; $27.798 
414;Banco BCI;2011;junio;2; $32.094 
415;Banco BCI;2011;julio;3; $85.006 
416;Banco BCI;2011;agosto;1; $33.241 
417;Banco BCI;2011;septiembre;3; $90.372 
418;Banco BCI;2011;octubre;1; $72.514 
419;Banco BCI;2011;noviembre;4; $63.632 
420;Banco BCI;2011;diciembre;3; $78.679 
421;Banco BCI;2012;enero;1; $40.887 
422;Banco BCI;2012;febrero;3; $90.660 
423;Banco BCI;2012;marzo;1; $49.875 
424;Banco BCI;2012;abril;3; $36.364 
425;Banco BCI;2012;mayo;3; $25.335 
426;Banco BCI;2012;junio;2; $74.823 
427;Banco BCI;2012;julio;5; $18.060 
428;Banco BCI;2012;agosto;3; $74.186 
429;Banco BCI;2012;septiembre;1; $6.177 
430;Banco BCI;2012;octubre;0; $- 
431;Banco BCI;2012;noviembre;2; $83.012 
432;Banco BCI;2012;diciembre;0; $- 
433;Banco BCI;2013;enero;0; $- 
434;Banco BCI;2013;febrero;5; $46.365 
435;Banco BCI;2013;marzo;0; $- 
436;Banco BCI;2013;abril;3; $60.091 
437;Banco BCI;2013;mayo;2; $64.190 
438;Banco BCI;2013;junio;5; $96.818 
439;Banco BCI;2013;julio;2; $60.273 
440;Banco BCI;2013;agosto;1; $52.649 
441;Banco BCI;2013;septiembre;5; $36.700 
442;Banco BCI;2013;octubre;1; $78.586 
443;Banco BCI;2013;noviembre;4; $20.574 
444;Banco BCI;2013;diciembre;2; $17.841 
445;Banco BCI;2014;enero;0; $- 
446;Banco BCI;2014;febrero;0; $- 
447;Banco BCI;2014;marzo;5; $70.290 
448;Banco BCI;2014;abril;5; $32.746 
449;Banco BCI;2014;mayo;1; $48.327 
450;Banco BCI;2014;junio;2; $62.223 
451;Banco BCI;2014;julio;5; $52.002 
452;Banco BCI;2014;agosto;1; $66.664 
453;Banco BCI;2014;septiembre;2; $50.967 
454;Banco BCI;2014;octubre;4; $18.427 
455;Banco BCI;2014;noviembre;1; $35.903 
456;Banco BCI;2014;diciembre;2; $76.261 
457;Banco BCI;2015;enero;0; $- 
458;Banco BCI;2015;febrero;1; $40.125 
459;Banco BCI;2015;marzo;4; $93.510 
460;Banco BCI;2015;abril;3; $21.013 
461;Banco BCI;2015;mayo;5; $74.586 
462;Banco BCI;2015;junio;4; $96.959 
463;Banco BCI;2015;julio;4; $99.012 
464;Banco BCI;2015;agosto;3; $26.521 
465;Banco BCI;2015;septiembre;5; $13.984 
466;Banco BCI;2015;octubre;1; $8.922 
467;Banco BCI;2015;noviembre;2; $78.437 
468;Banco BCI;2015;diciembre;1; $93.867 
469;Banco BCI;2016;enero;1; $20.861 
470;Banco BCI;2016;febrero;0; $- 
471;Banco BCI;2016;marzo;1; $34.882 
472;Banco BCI;2016;abril;0; $- 
473;Banco BCI;2016;mayo;4; $8.398 
474;Banco BCI;2016;junio;4; $65.155 
475;Banco BCI;2016;julio;5; $36.356 
476;Banco BCI;2016;agosto;3; $72.588 
477;Banco BCI;2016;septiembre;1; $30.307 
478;Banco BCI;2016;octubre;1; $58.455 
479;Banco BCI;2016;noviembre;0; $- 
480;Banco BCI;2016;diciembre;2; $23.022 
481;Banco BCI;2017;enero;0; $- 
482;Banco BCI;2017;febrero;1; $72.879 
483;Banco BCI;2017;marzo;4; $37.202 
484;Banco BCI;2017;abril;3; $67.219 
485;Banco BCI;2017;mayo;5; $20.639 
486;Banco BCI;2017;junio;4; $16.560 
487;Banco BCI;2017;julio;3; $14.091 
488;Banco BCI;2017;agosto;3; $9.423 
489;Banco BCI;2017;septiembre;0; $- 
490;Banco BCI;2017;octubre;0; $- 
491;Banco BCI;2017;noviembre;2; $81.977 
492;Banco BCI;2017;diciembre;1; $91.973 
493;Banco BCI;2018;enero;4; $87.271 
494;Banco BCI;2018;febrero;0; $- 
495;Banco BCI;2018;marzo;0; $- 
496;Banco BCI;2018;abril;4; $89.052 
497;Banco BCI;2018;mayo;1; $77.765 
498;Banco BCI;2018;junio;5; $15.680 
499;Banco BCI;2018;julio;1; $96.495 
500;Banco BCI;2018;agosto;5; $30.115 
501;Banco BCI;2018;septiembre;0; $- 
502;Banco BCI;2018;octubre;5; $82.566 
503;Banco BCI;2018;noviembre;4; $61.878 
504;Banco BCI;2018;diciembre;2; $10.074 
505;Banco BCI;2019;enero;2; $74.856 
506;Banco BCI;2019;febrero;5; $65.786 
507;Banco BCI;2019;marzo;2; $5.504 
508;Banco BCI;2019;abril;3; $10.959 
509;Banco BCI;2019;mayo;0; $- 
510;Banco BCI;2019;junio;5; $42.808 
511;Banco BCI;2019;julio;1; $31.972 
512;Banco BCI;2019;agosto;5; $72.428 
513;Banco BCI;2019;septiembre;1; $52.853 
514;Banco BCI;2019;octubre;5; $15.733 
515;Banco BCI;2019;noviembre;1; $26.512 
516;Banco BCI;2019;diciembre;3; $30.326 
517;Banco BCI;2020;enero;0; $- 
518;Banco BCI;2020;febrero;3; $60.728 
519;Banco BCI;2020;marzo;4; $13.134 
520;Banco BCI;2020;abril;3; $51.521 
521;Banco BCI;2020;mayo;1; $32.280 
522;Banco BCI;2020;junio;2; $72.455 
523;Banco BCI;2020;julio;5; $18.548 
524;Banco BCI;2020;agosto;5; $49.177 
525;Banco BCI;2020;septiembre;2; $65.765 
526;Banco BCI;2020;octubre;1; $55.877 
527;Banco BCI;2020;noviembre;4; $73.450 
528;Banco BCI;2020;diciembre;2; $29.365 
529;Banco BCI;2021;enero;0; $- 
530;Banco BCI;2021;febrero;0; $- 
531;Banco BCI;2021;marzo;2; $96.600 
532;Banco BCI;2021;abril;4; $48.110 
533;Banco BCI;2021;mayo;4; $30.464 
534;Banco BCI;2021;junio;0; $- 
535;Banco BCI;2021;julio;5; $51.617 
536;Banco BCI;2021;agosto;3; $11.732 
537;Banco BCI;2021;septiembre;2; $98.399 
538;Banco BCI;2021;octubre;2; $15.184 
539;Banco BCI;2021;noviembre;1; $98.464 
540;Banco BCI;2021;diciembre;0; $- 
541;Banco BCI;2022;enero;4; $58.293 
542;Banco BCI;2022;febrero;1; $53.765 
543;Banco BCI;2022;marzo;4; $33.129 
544;Banco BCI;2022;abril;1; $94.275 
545;Banco BCI;2022;mayo;4; $62.333 
546;Banco BCI;2022;junio;0; $- 
547;Banco BCI;2022;julio;0; $- 
548;Banco BCI;2022;agosto;4; $75.669 
549;Banco BCI;2022;septiembre;4; $68.195 
550;Banco BCI;2022;octubre;0; $- 
551;Banco BCI;2022;noviembre;3; $90.844 
552;Banco BCI;2022;diciembre;3; $11.216 
553;Banco de Chile;2000;enero;1; $65.297 
554;Banco de Chile;2000;febrero;5; $97.024 
555;Banco de Chile;2000;marzo;2; $73.711 
556;Banco de Chile;2000;abril;3; $11.053 
557;Banco de Chile;2000;mayo;2; $7.905 
558;Banco de Chile;2000;junio;2; $28.004 
559;Banco de Chile;2000;julio;2; $30.662 
560;Banco de Chile;2000;agosto;2; $5.297 
561;Banco de Chile;2000;septiembre;3; $92.426 
562;Banco de Chile;2000;octubre;4; $16.070 
563;Banco de Chile;2000;noviembre;0; $- 
564;Banco de Chile;2000;diciembre;3; $9.690 
565;Banco de Chile;2001;enero;4; $11.292 
566;Banco de Chile;2001;febrero;0; $- 
567;Banco de Chile;2001;marzo;5; $9.241 
568;Banco de Chile;2001;abril;2; $12.453 
569;Banco de Chile;2001;mayo;5; $87.228 
570;Banco de Chile;2001;junio;5; $72.537 
571;Banco de Chile;2001;julio;3; $36.043 
572;Banco de Chile;2001;agosto;0; $- 
573;Banco de Chile;2001;septiembre;1; $22.660 
574;Banco de Chile;2001;octubre;4; $53.233 
575;Banco de Chile;2001;noviembre;1; $72.490 
576;Banco de Chile;2001;diciembre;3; $15.117 
577;Banco de Chile;2002;enero;1; $52.438 
578;Banco de Chile;2002;febrero;2; $43.182 
579;Banco de Chile;2002;marzo;1; $46.802 
580;Banco de Chile;2002;abril;5; $23.641 
581;Banco de Chile;2002;mayo;3; $53.527 
582;Banco de Chile;2002;junio;1; $24.308 
583;Banco de Chile;2002;julio;5; $29.086 
584;Banco de Chile;2002;agosto;0; $- 
585;Banco de Chile;2002;septiembre;2; $51.730 
586;Banco de Chile;2002;octubre;2; $30.487 
587;Banco de Chile;2002;noviembre;5; $56.515 
588;Banco de Chile;2002;diciembre;1; $9.074 
589;Banco de Chile;2003;enero;0; $- 
