Magnitud,Lugar,Fecha_Tiempo,Tipo_Magnitud,Tipo_Catastrofe,Longitud,Latitud,Profundidad
1.3,"7 km NE of Delta Junction, Alaska",1970-01-20 01:27:43.786115,ml,earthquake,-145.6122,64.0859,14.2
4.4,"62 km WSW of Sungai Penuh, Indonesia",1970-01-20 01:27:43.771953,mb,earthquake,100.8763,-2.293,66.18
0.54,"21km ESE of Little Lake, CA",1970-01-20 01:27:43.216240,ml,earthquake,-117.6866667,35.8633333,7.75
0.16,"23km ESE of Ridgecrest, CA",1970-01-20 01:27:43.111710,ml,earthquake,-117.4518333,35.52,4.49
0.28,"24km ESE of Ridgecrest, CA",1970-01-20 01:27:43.105910,ml,earthquake,-117.4386667,35.5233333,6.76
4.8,Mid-Indian Ridge,1970-01-20 01:27:42.947289,mb,earthquake,69.9593,-24.8883,10.0
0.65,"10km WSW of Niland, CA",1970-01-20 01:27:42.425820,ml,earthquake,-115.6148333,33.2055,3.9
1.56,"10km SW of Niland, CA",1970-01-20 01:27:42.297620,ml,earthquake,-115.605,33.1815,3.71
2.22000003,"8 km ENE of P?hala, Hawaii",1970-01-20 01:27:42.239710,md,earthquake,-155.403167724609,19.2218341827393,31.6000003814697
1.03,"6 km SSW of The Silos, Montana",1970-01-20 01:27:41.894560,ml,quarry blast,-111.6273333,46.3415,-2.0
4.5,"73 km W of Kirakira, Solomon Islands",1970-01-20 01:27:41.831531,mb,earthquake,161.253,-10.4114,43.56
1.48,"10km SW of Niland, CA",1970-01-20 01:27:41.760730,ml,earthquake,-115.605,33.1828333,2.81
1.82,"10km SW of Niland, CA",1970-01-20 01:27:41.630460,ml,earthquake,-115.6046667,33.1875,2.44
1.96,"10km SW of Niland, CA",1970-01-20 01:27:41.619940,ml,earthquake,-115.6018333,33.1853333,3.17
1.54,"16 km SSE of Sunnyside, Utah",1970-01-20 01:27:41.466690,md,earthquake,-110.3086667,39.4191667,-1.91
1.2,"22 km WNW of Anderson, Alaska",1970-01-20 01:27:41.401419,ml,earthquake,-149.6331,64.3966,12.3
1.1,"24 km WNW of Anderson, Alaska",1970-01-20 01:27:41.282964,ml,earthquake,-149.6752,64.4161,11.2
4.5,north of Ascension Island,1970-01-20 01:27:41.063449,mb,earthquake,-16.1909,0.5071,10.0
0.93,"16km SE of Mammoth Lakes, CA",1970-01-20 01:27:40.730470,md,earthquake,-118.8673333,37.5173333,10.38
1.12,"14km S of Joshua Tree, CA",1970-01-20 01:27:40.678880,ml,earthquake,-116.3271667,34.0133333,9.83
0.9,"8km NNE of Pinnacles, CA",1970-01-20 01:27:40.656560,md,earthquake,-121.1233333,36.6018333,12.35
0.85,"3km W of Cobb, CA",1970-01-20 01:27:40.625320,md,earthquake,-122.7623367,38.8224983,2.4
1.42,"2km ENE of Aromas, CA",1970-01-20 01:27:40.440510,md,quarry blast,-121.618,36.8948333,-0.12
0.86,"16km W of Searles Valley, CA",1970-01-20 01:27:40.163880,ml,earthquake,-117.5808333,35.7733333,6.97
3.2,"10 km ESE of Wright, Wyoming",1970-01-20 01:27:40.161375,ml,mining explosion,-105.3652,43.7171,0.0
1.7,"52 km N of Yakutat, Alaska",1970-01-20 01:27:40.140837,ml,ice quake,-139.7145,60.0226,0.0
2.39,"7 km E of Bonanza, Oregon",1970-01-20 01:27:39.994930,ml,explosion,-121.31616666666666,42.19416666666667,-1.67
1.1,"56 km S of Silver Peak, Nevada",1970-01-20 01:27:39.930503,ml,earthquake,-117.6095,37.2494,9.3
-0.44,"63 km ENE of Pedro Bay, Alaska",1970-01-20 01:27:39.323130,ml,earthquake,-153.073166666667,60.0143333333333,0.57
1.77,"4 km ENE of North Lilbourn, Missouri",1970-01-20 01:27:38.976020,md,earthquake,-89.5726667,36.6128333,11.4
1.08,"13km SE of Tehachapi, CA",1970-01-20 01:27:38.892910,ml,quarry blast,-118.3396667,35.0598333,-0.8
4.7,southern East Pacific Rise,1970-01-20 01:27:38.728025,mb,earthquake,-113.441,-20.4382,10.0
1.1,"6 km SSE of Houston, Alaska",1970-01-20 01:27:38.669064,ml,earthquake,-149.7647,61.5779,31.8
0.8,"29 km S of Mina, Nevada",1970-01-20 01:27:38.547583,ml,earthquake,-118.1139,38.1252,9.9
1.0,"44 km SE of Denali National Park, Alaska",1970-01-20 01:27:38.476438,ml,earthquake,-151.0338,63.2831,0.8
2.5,"30 km S of Mina, Nevada",1970-01-20 01:27:38.308638,ml,earthquake,-118.113,38.1199,11.1
0.85,"7km WNW of Cobb, CA",1970-01-20 01:27:37.972970,md,earthquake,-122.8071671,38.8353348,1.66
2.8,"29 km SE of Nelson Lagoon, Alaska",1970-01-20 01:27:37.875661,ml,earthquake,-160.9135,55.7898,152.87
0.35,"5km NW of The Geysers, CA",1970-01-20 01:27:37.790800,md,earthquake,-122.7958333,38.8148333,2.53
1.4,"12 km NNE of Fritz Creek, Alaska",1970-01-20 01:27:37.240320,ml,earthquake,-151.1778,59.829,41.8
0.85,"7km WNW of The Geysers, CA",1970-01-20 01:27:37.041980,md,earthquake,-122.8251648,38.8078346,2.12
2.1,"49 km ESE of Atka, Alaska",1970-01-20 01:27:37.037016,ml,earthquake,-173.5416,52.0138,56.7
1.83,"5km ESE of Blackhawk, CA",1970-01-20 01:27:36.747640,md,earthquake,-121.8526667,37.811,15.42
0.66,"7 km SW of Corinne, Utah",1970-01-20 01:27:36.622870,md,earthquake,-112.1711667,41.5063333,3.99
1.2,"4 km S of Nikolaevsk, Alaska",1970-01-20 01:27:36.458142,ml,earthquake,-151.5969,59.7758,61.5
1.89,"5 km ENE of Butte, Montana",1970-01-20 01:27:36.176050,ml,quarry blast,-112.472,46.0168333,-2.0
0.99,"3km NE of The Geysers, CA",1970-01-20 01:27:36.004380,md,earthquake,-122.7385025,38.7960014,1.42
1.64,"7km SSW of Mojave, CA",1970-01-20 01:27:35.897220,ml,quarry blast,-118.1961667,34.995,-0.82
2.2,"Rat Islands, Aleutian Islands, Alaska",1970-01-20 01:27:35.479659,ml,earthquake,178.6004,51.5528,59.0
0.56,"10km NNE of Coso Junction, CA",1970-01-20 01:27:35.384000,ml,earthquake,-117.9003333,36.1303333,4.27
2.03,"16 km SSE of Sunnyside, Utah",1970-01-20 01:27:35.367010,md,earthquake,-110.3056667,39.418,-2.3
1.47,"11 km W of Davis, Oklahoma",1970-01-20 01:27:35.345379,ml,quarry blast,-97.247,34.51483333,0.0
0.68,"4km SE of The Geysers, CA",1970-01-20 01:27:35.110680,md,earthquake,-122.7285,38.7486667,1.79
-0.19,"4km SE of The Geysers, CA",1970-01-20 01:27:35.081840,md,earthquake,-122.728,38.7478333,1.4
1.4,"4km SE of The Geysers, CA",1970-01-20 01:27:35.045110,md,earthquake,-122.7316667,38.7491667,2.06
0.35,"7km NW of The Geysers, CA",1970-01-20 01:27:35.033150,md,earthquake,-122.8223343,38.8153343,3.05
1.3,"8km E of Chualar, CA",1970-01-20 01:27:34.672020,md,quarry blast,-121.426,36.5816667,-0.53
-0.61,"10 km NNE of Government Camp, Oregon",1970-01-20 01:27:34.600230,md,earthquake,-121.7055,45.3945,2.24
2.06999993,"5 km SSE of P?hala, Hawaii",1970-01-20 01:27:34.264850,md,earthquake,-155.460006713867,19.1595001220703,33.1399993896484
0.49,"3km ENE of Anza, CA",1970-01-20 01:27:33.220700,ml,earthquake,-116.6478333,33.565,11.85
1.65,"45km NE of Holtville, CA",1970-01-20 01:27:33.030720,ml,quarry blast,-115.0053333,33.063,-0.2
2.21,"1 km WSW of Guánica, Puerto Rico",1970-01-20 01:27:32.197240,md,earthquake,-66.9201666666667,17.9638333333333,11.1
4.5,"100 km SW of Jinchang, China",1970-01-20 01:27:31.236167,mb,earthquake,101.4619,37.7998,10.0
1.0,"44 km NE of Pedro Bay, Alaska",1970-01-20 01:27:31.140955,ml,earthquake,-153.4998,60.0501,5.5
1.33,"7km ENE of Gilroy, CA",1970-01-20 01:27:30.960190,md,earthquake,-121.4938333,37.0328333,8.43
2.2,"57 km S of Whites City, New Mexico",1970-01-20 01:27:29.950930,ml,earthquake,-104.3253293,31.65889137,7.494091797
4.9,"41 km S of Paracas, Peru",1970-01-20 01:27:29.898085,mb,earthquake,-76.2461,-14.2401,35.76
2.9,"14 km NNE of Virginia, Minnesota",1970-01-20 01:27:29.678206,ml,mining explosion,-92.4811,47.6523,0.0
0.46,"79 km W of Adak, Alaska",1970-01-20 01:27:29.336310,ml,earthquake,-177.787666666667,51.8435,-1.74
4.8,"50 km NE of Calama, Chile",1970-01-20 01:27:29.043582,mwr,earthquake,-68.54,-22.1666,106.35
1.28,"13 km NNW of Langford, Canada",1970-01-20 01:27:29.034050,ml,explosion,-123.5415,48.570166666666665,-0.22
1.1,"26 km S of Mud Bay, Alaska",1970-01-20 01:27:28.846096,ml,earthquake,-135.4095,58.9233,5.5
1.3,"50 km S of Glacier View, Alaska",1970-01-20 01:27:28.798805,ml,ice quake,-147.7368,61.3538,0.0
1.11,"2km NNW of The Geysers, CA",1970-01-20 01:27:28.777130,md,earthquake,-122.7623367,38.7944984,2.76
2.73,"8km N of Petrolia, CA",1970-01-20 01:27:28.487110,md,earthquake,-124.2781667,40.3945,27.39
2.41,"8 km SE of Maria Antonia, Puerto Rico",1970-01-20 01:27:27.966450,md,earthquake,-66.84,17.9175,12.71
1.43,"8km E of Borrego Springs, CA",1970-01-20 01:27:27.788720,ml,earthquake,-116.2891667,33.2491667,10.25
-0.01,"1km NE of The Geysers, CA",1970-01-20 01:27:27.580340,md,earthquake,-122.7525,38.7816667,2.05
1.79999995,"9 km E of P?hala, Hawaii",1970-01-20 01:27:27.494850,md,earthquake,-155.387329101562,19.2163333892822,32.0800018310547
0.65,"15km SSW of Searles Valley, CA",1970-01-20 01:27:27.366640,ml,earthquake,-117.4445,35.634,6.14
0.37,"0km NNE of The Geysers, CA",1970-01-20 01:27:27.354620,md,earthquake,-122.7543335,38.7808342,1.59
1.8,"82 km SE of False Pass, Alaska",1970-01-20 01:27:27.173218,ml,earthquake,-162.5661,54.2971,9.8
1.4,"55 km W of Petersville, Alaska",1970-01-20 01:27:27.120313,ml,earthquake,-151.8394,62.4902,95.4
1.5,"13 km NNW of Glennallen, Alaska",1970-01-20 01:27:27.062840,ml,earthquake,-145.6566,62.2232,24.1
1.2,"32 km NW of Willow, Alaska",1970-01-20 01:27:27.062280,ml,earthquake,-150.4255,61.9686,56.3
0.68,"18km WNW of Searles Valley, CA",1970-01-20 01:27:26.994060,ml,earthquake,-117.589,35.8333333,9.8
1.18,"1km SSW of Anderson Springs, CA",1970-01-20 01:27:26.773430,md,earthquake,-122.6956667,38.7661667,1.79
0.85,"12km NE of Little Lake, CA",1970-01-20 01:27:26.236010,ml,earthquake,-117.8001667,36.008,1.77
4.3,"197 km E of Levuka, Fiji",1970-01-20 01:27:25.964978,mb,earthquake,-178.8323,-17.861,546.93
0.35,"5km W of Cobb, CA",1970-01-20 01:27:25.870760,md,earthquake,-122.7843323,38.8255005,0.91
3.0,"27 km S of Mud Bay, Alaska",1970-01-20 01:27:25.402959,ml,earthquake,-135.3775,58.9094,4.5
2.18,"10 km ENE of P?hala, Hawaii",1970-01-20 01:27:25.376160,ml,earthquake,-155.387664794922,19.2323341369629,33.2299995422363
1.2,"35 km WNW of Willow, Alaska",1970-01-20 01:27:25.326686,ml,earthquake,-150.6505,61.8846,59.1
2.9,"52 km WNW of Nikolski, Alaska",1970-01-20 01:27:25.185225,ml,earthquake,-169.5195,53.197,156.97
1.0,"27 km WSW of Salcha, Alaska",1970-01-20 01:27:25.113890,ml,earthquake,-147.4293,64.4314,15.0
0.88,"6km NNE of Fontana, CA",1970-01-20 01:27:24.829160,ml,earthquake,-117.4316667,34.1475,6.62
4.1,"102 km SE of Old Harbor, Alaska",1970-01-20 01:27:23.541955,mb,earthquake,-152.2612,56.4828,9.7
5.4,South Sandwich Islands region,1970-01-20 01:27:23.415327,mww,earthquake,-25.9874,-60.6099,10.0
4.2,Kermadec Islands region,1970-01-20 01:27:23.287188,mb,earthquake,-179.0576,-30.0039,349.8
0.48,"6km WNW of Cobb, CA",1970-01-20 01:27:22.986590,md,earthquake,-122.791,38.8368333,2.22
1.57,"7 km E of P?hala, Hawaii",1970-01-20 01:27:22.906900,md,earthquake,-155.408666666667,19.213,33.11
-0.17,"16km SSW of Searles Valley, CA",1970-01-20 01:27:22.722120,ml,earthquake,-117.4518333,35.627,8.62
5.1,Galapagos Triple Junction region,1970-01-20 01:27:22.681532,mb,earthquake,-100.6845,6.0616,10.0
1.19,"11km ENE of Coalinga, CA",1970-01-20 01:27:22.195580,md,earthquake,-120.2475,36.1806667,10.46
2.16,"6 km ESE of Elgin, South Carolina",1970-01-20 01:27:22.144420,md,earthquake,-80.7286667,34.1501667,3.58
1.5,"71 km SW of Kaktovik, Alaska",1970-01-20 01:27:21.976103,ml,earthquake,-144.9076,69.6715,15.1
0.9,"43 km SSE of Denali National Park, Alaska",1970-01-20 01:27:21.565261,ml,earthquake,-151.3545,63.1885,9.9
1.99000001,"9 km ENE of P?hala, Hawaii",1970-01-20 01:27:21.522550,md,earthquake,-155.38932800293,19.2306671142578,32.6100006103516
1.31,"13 km ENE of Orcas, Washington",1970-01-20 01:27:21.139980,ml,earthquake,-122.78416666666666,48.652,16.27
1.7,"69 km N of Petersville, Alaska",1970-01-20 01:27:21.123958,ml,earthquake,-150.5036,63.1074,106.0
1.76999998,"18 km WNW of Volcano, Hawaii",1970-01-20 01:27:20.933210,md,earthquake,-155.408996582031,19.4778327941895,-1.61000001430511
1.0,"110 km S of McCarthy, Alaska",1970-01-20 01:27:20.457225,ml,earthquake,-142.9185,60.4459,7.3
4.4,Fiji region,1970-01-20 01:27:20.448969,mb,earthquake,-177.8956,-18.7913,540.74
1.1,"98 km NNW of Yakutat, Alaska",1970-01-20 01:27:20.201449,ml,earthquake,-140.6338,60.3009,6.0
2.1,"11 km ENE of P?hala, Hawaii",1970-01-20 01:27:19.877850,ml,earthquake,-155.385665893555,19.2488327026367,31.9899997711182
1.8,"93 km SW of Atka, Alaska",1970-01-20 01:27:19.339586,ml,earthquake,-175.052,51.5428,21.5
0.86,"7 km SE of Mossyrock, Washington",1970-01-20 01:27:19.284280,ml,earthquake,-122.3995,46.48866666666667,17.06
0.4,"26 km SW of Mina, Nevada",1970-01-20 01:27:19.238275,ml,earthquake,-118.3409,38.2403,5.4
1.6,"64 km SE of Denali National Park, Alaska",1970-01-20 01:27:18.906161,ml,earthquake,-150.9196,63.0935,119.0
1.75,"Island of Hawaii, Hawaii",1970-01-20 01:27:18.888330,md,earthquake,-155.388666666667,19.2266666666667,33.06
2.6,"32 km NW of Stanley, Idaho",1970-01-20 01:27:18.658073,ml,earthquake,-115.2604,44.3894,14.58
1.5,"5 km W of Point MacKenzie, Alaska",1970-01-20 01:27:18.502178,ml,earthquake,-150.072,61.3628,44.4
2.04999995,"9 km ENE of P?hala, Hawaii",1970-01-20 01:27:18.054800,md,earthquake,-155.397827148438,19.2450008392334,31.4500007629395
2.3,"37 km SSE of Mendeltna, Alaska",1970-01-20 01:27:17.911076,ml,earthquake,-146.2892,61.7398,20.0
1.4,"27 km SW of Unalaska, Alaska",1970-01-20 01:27:17.762467,ml,earthquake,-166.7904,53.6746,74.6
1.04,"8km ESE of Fremont, CA",1970-01-20 01:27:17.724180,md,earthquake,-121.8945,37.5256667,6.23
1.17,"1km NW of The Geysers, CA",1970-01-20 01:27:17.581630,md,earthquake,-122.7634964,38.7818336,0.76
1.02,"7km NW of The Geysers, CA",1970-01-20 01:27:17.415830,md,earthquake,-122.8063354,38.8278351,1.52
2.54,"2 km SW of Santo Domingo, Puerto Rico",1970-01-20 01:27:17.229120,md,earthquake,-66.7713333333333,18.0505,8.86
2.01,"12km ENE of Coalinga, CA",1970-01-20 01:27:17.160160,md,earthquake,-120.2386667,36.1765,9.97
-0.4,"44 km ESE of Beatty, Nevada",1970-01-20 01:27:17.124462,ml,earthquake,-116.3108,36.7286,6.8
3.8,"53 km SE of Akutan, Alaska",1970-01-20 01:27:16.829891,mb,earthquake,-165.1547,53.8173,61.28
1.67,"1 km NNW of Silvana, Washington",1970-01-20 01:27:16.723340,ml,earthquake,-122.2635,48.21233333333333,19.26
0.0,"47 km ESE of Beatty, Nevada",1970-01-20 01:27:16.707900,ml,earthquake,-116.2636,36.7474,7.8
1.74000001,"7 km SE of P?hala, Hawaii",1970-01-20 01:27:15.427570,md,earthquake,-155.423492431641,19.1611671447754,31.5799999237061
0.84,"12km NW of The Geysers, CA",1970-01-20 01:27:15.348230,md,earthquake,-122.8763351,38.8398323,2.43
1.3,"56 km N of Hiko, Nevada",1970-01-20 01:27:15.317222,ml,earthquake,-115.2997,38.1007,0.4
2.7,"Rat Islands, Aleutian Islands, Alaska",1970-01-20 01:27:15.239106,ml,earthquake,178.6585,51.484,65.13
0.1,California-Nevada border region,1970-01-20 01:27:15.166276,ml,earthquake,-119.4361,38.5749,10.3
0.86,"9km WNW of Cobb, CA",1970-01-20 01:27:15.156840,md,earthquake,-122.8166656,38.8466682,1.38
1.2,"38 km N of Petersville, Alaska",1970-01-20 01:27:15.091792,ml,earthquake,-150.7691,62.8428,97.2
1.75,"14km SE of Livermore, CA",1970-01-20 01:27:14.926550,md,earthquake,-121.652,37.5975,6.02
1.9,"Unimak Island region, Alaska",1970-01-20 01:27:14.862050,ml,earthquake,-163.333,54.6538,13.1
1.7,"52 km SSW of Atka, Alaska",1970-01-20 01:27:14.521763,ml,earthquake,-174.5919,51.7895,8.8
2.77,"1 km SW of Tallaboa, Puerto Rico",1970-01-20 01:27:14.022110,md,earthquake,-66.726,17.9876666666667,7.26
2.51,"1 km ESE of Maria Antonia, Puerto Rico",1970-01-20 01:27:13.909900,md,earthquake,-66.8731666666667,17.9716666666667,16.28
2.5,"109 km SSE of Atka, Alaska",1970-01-20 01:27:13.820547,ml,earthquake,-173.345,51.3631,5.38
0.66,"32 km SSE of False Pass, Alaska",1970-01-20 01:27:13.489800,ml,earthquake,-163.307166666667,54.568,13.37
1.2,"1 km ENE of Mullan, Idaho",1970-01-20 01:27:13.292410,ml,earthquake,-115.7845,47.4773333,0.02
1.1,"13 km W of Susitna North, Alaska",1970-01-20 01:27:13.260982,ml,earthquake,-150.1031,62.1749,7.7
2.9,off the coast of Northern California,1970-01-20 01:27:13.033988,ml,earthquake,-127.4549,40.3918,10.0
1.09,"12km E of Arvin, CA",1970-01-20 01:27:12.808030,ml,earthquake,-118.699,35.19,7.75
0.62,"23km W of Inyokern, CA",1970-01-20 01:27:12.777430,ml,earthquake,-118.067,35.6408333,3.37
3.0,"7 km NNE of Chiniak, Alaska",1970-01-20 01:27:12.375281,ml,earthquake,-152.2517,57.6803,24.0
1.3,"58 km SSW of Cantwell, Alaska",1970-01-20 01:27:12.110106,ml,earthquake,-149.3326,62.8928,67.1
1.09,"7km WNW of Cobb, CA",1970-01-20 01:27:12.052650,md,earthquake,-122.7983322,38.8358345,1.96
2.12,"10 km WSW of Volcano, Hawaii",1970-01-20 01:27:11.869130,ml,earthquake,-155.3285,19.4158333333333,6.45
0.48,"6km WNW of Cobb, CA",1970-01-20 01:27:11.814510,md,earthquake,-122.7885,38.8356667,2.08
1.0,"52 km SE of Cantwell, Alaska",1970-01-20 01:27:11.712429,ml,earthquake,-148.1933,63.0692,10.9
3.5,"15 km S of Hope, Alaska",1970-01-20 01:27:10.958560,mb,earthquake,-149.6125,60.7778,30.6
0.5,"39 km NNE of Ovando, Montana",1970-01-20 01:27:10.925040,ml,earthquake,-112.9878333,47.3626667,5.99
1.0,"18 km NE of Mount Charleston, Nevada",1970-01-20 01:27:09.700056,ml,earthquake,-115.4952,36.3691,0.0
0.37,"6 km NE of Hebgen Lake Estates, Montana",1970-01-20 01:27:09.443570,md,earthquake,-111.1286667,44.8035,9.18
2.13000011,"Island of Hawaii, Hawaii",1970-01-20 01:27:09.426000,md,earthquake,-155.387161254883,19.2263336181641,31.7199993133545
0.95,"9km NE of Borrego Springs, CA",1970-01-20 01:27:09.071880,ml,earthquake,-116.3038333,33.3163333,8.59
1.9,"96 km SSE of False Pass, Alaska",1970-01-20 01:27:08.834443,ml,earthquake,-162.9865,54.0267,3.7
5.2,"80 km SSW of Hualien City, Taiwan",1970-01-20 01:27:08.534484,mww,earthquake,121.4329,23.2665,32.63
1.2,"54 km WSW of Denali Park, Alaska",1970-01-20 01:27:08.441066,ml,earthquake,-149.975,63.6185,134.5
1.2,"8km NE of Moreno Valley, CA",1970-01-20 01:27:08.171430,ml,earthquake,-117.1636667,33.9773333,13.81
1.0,"8 km SSE of Big Lake, Alaska",1970-01-20 01:27:08.083062,ml,earthquake,-149.9235,61.451,37.9
1.5,"70 km NNE of Aleneva, Alaska",1970-01-20 01:27:06.771739,ml,earthquake,-152.5074,58.6563,11.8
0.9,"15 km ENE of Hawthorne, Nevada",1970-01-20 01:27:06.425531,ml,earthquake,-118.4691,38.5993,5.0
0.83,"18km W of Searles Valley, CA",1970-01-20 01:27:06.193520,ml,earthquake,-117.6013333,35.7816667,5.99
4.0,"208 km WSW of Adak, Alaska",1970-01-20 01:27:05.493638,mb,earthquake,-179.2176,50.9282,10.0
3.2,"Rat Islands, Aleutian Islands, Alaska",1970-01-20 01:27:05.174645,ml,earthquake,179.556,52.0993,174.02
0.74,"4km SE of Redlands, CA",1970-01-20 01:27:04.314390,ml,earthquake,-117.1571667,34.0315,12.98
0.69,"4km SE of Redlands, CA",1970-01-20 01:27:04.305990,ml,earthquake,-117.1551667,34.029,11.26
1.9,"5 km WSW of Point MacKenzie, Alaska",1970-01-20 01:27:04.002335,ml,earthquake,-150.068,61.3409,41.0
1.2,"22 km NE of Sterling, Alaska",1970-01-20 01:27:03.827684,ml,earthquake,-150.4744,60.6776,44.8
0.7,"12 km SE of Milford, California",1970-01-20 01:27:03.745678,ml,earthquake,-120.2886,40.0767,10.0
0.7,"3 km NNW of Indian Springs, Nevada",1970-01-20 01:27:03.712504,ml,earthquake,-115.6927,36.5965,8.0
0.32,"14 km ESE of Lincoln, Montana",1970-01-20 01:27:03.554090,md,earthquake,-112.5133333,46.888,14.75
1.2,"30 km SSW of Skwentna, Alaska",1970-01-20 01:27:03.522383,ml,earthquake,-151.604,61.7322,79.5
1.5,"55 km W of Happy Valley, Alaska",1970-01-20 01:27:03.461164,ml,earthquake,-152.7057,60.0469,106.1
0.57,"8km NW of The Geysers, CA",1970-01-20 01:27:03.024300,md,earthquake,-122.8183365,38.8326683,1.66
0.8,"15km SSW of Searles Valley, CA",1970-01-20 01:27:03.006980,ml,earthquake,-117.461,35.6398333,6.44
1.4,"4 km ENE of Big Lake, Alaska",1970-01-20 01:27:02.589360,ml,earthquake,-149.8689,61.5372,51.1
4.0,"140 km SSW of ?yama, Japan",1970-01-20 01:27:02.357250,mb,earthquake,137.8271,33.3794,337.94
0.75,"5km NNE of Fontana, CA",1970-01-20 01:27:02.132250,ml,earthquake,-117.4453333,34.1393333,7.43
1.0,"47 km WNW of Indian Springs, Nevada",1970-01-20 01:27:01.835883,ml,earthquake,-116.1476,36.757,3.8
2.1,"10 km ENE of P?hala, Hawaii",1970-01-20 01:27:01.773280,ml,earthquake,-155.381500244141,19.2339992523193,32.0499992370605
1.2,"49 km SSE of Nelchina, Alaska",1970-01-20 01:27:01.487528,ml,earthquake,-146.3491,61.5983,39.5
0.16,"6km WNW of The Geysers, CA",1970-01-20 01:27:01.395080,md,earthquake,-122.8168333,38.8061667,2.79
2.89,"3 km W of La Parguera, Puerto Rico",1970-01-20 01:27:01.324910,md,earthquake,-67.0815,17.978,7.72
2.0,"3 km SW of P?hala, Hawaii",1970-01-20 01:27:01.283470,md,earthquake,-155.497833251953,19.1774997711182,31.3899993896484
0.0,"26 km SW of Mina, Nevada",1970-01-20 01:27:01.175142,ml,earthquake,-118.3439,38.2448,6.1
0.74,"6km NW of The Geysers, CA",1970-01-20 01:27:01.076320,md,earthquake,-122.8071671,38.8153343,2.85
2.21,"9 km E of P?hala, Hawaii",1970-01-20 01:27:00.959280,ml,earthquake,-155.38850402832,19.2111663818359,31.1900005340576
1.2,"38 km SSE of Denali National Park, Alaska",1970-01-20 01:27:00.369062,ml,earthquake,-151.3404,63.2427,5.2
2.31,"11 km ENE of P?hala, Hawaii",1970-01-20 01:27:00.292070,ml,earthquake,-155.379837036133,19.246166229248,34.1599998474121
0.1,"2 km N of Walker, California",1970-01-20 01:27:00.068311,ml,earthquake,-119.4719,38.5385,8.8
1.73,"7km WSW of Gilroy, CA",1970-01-20 01:27:00.026810,md,earthquake,-121.642,36.9796667,3.18
1.5,"36 km NNW of Valdez, Alaska",1970-01-20 01:26:59.989857,ml,earthquake,-146.4881,61.4526,26.2
3.8,"105 km SSE of Sand Point, Alaska",1970-01-20 01:26:59.791264,mb,earthquake,-159.6115,54.5366,26.19
